nan,diesel
nan,Kerosene
nan,Ethanol
nan,gas
100.0,firewood
nan,diesel genset
nan,electricity
no,solar panel
nan,diesel
nan,Kerosene
nan,Ethanol
nan,gas
nan,firewood
nan,diesel genset
nan,electricity
nan,solar panel
nan,diesel
nan,Kerosene
nan,Ethanol
nan,gas
nan,firewood
nan,diesel genset
40.0,electricity
yes,solar panel
50.0,diesel
yes,Kerosene
50.0,Ethanol
nan,gas
nan,firewood
nan,diesel genset
nan,electricity
nan,solar panel
nan,diesel
nan,Kerosene
nan,Ethanol
nan,gas
nan,firewood
nan,diesel genset
nan,electricity
nan,solar panel
nan,
nan,
nan,
nan,
nan,
