Administration for Refugee and Returnee Affairs (ARRA)	Public Institution
National Resource Development and Environmental Protection Office (NRDEP)	Public Institution
Ethiopian Electric Utility	Public Institution
Asociación Española de Cooperación Internacional para el Desarrollo (AECID)	Public Institution
IBERDROLA S.A.	Private Institution
Fundación ACCIONA Microenergía	Private Institution
itdUPM	Private Institution
Philips	Private Institution
International Rescue Committee (IRC)	NGO
Norwegian Refugee Council (NRC)	NGO
Jesuit Refugee Service (JRS)	NGO
Centre of Victims of Torture (CVT)	NGO
Medecins Sans Frontieres (MSF-H)	NGO
Innovative Humanitarian Solutions (IHS	NGO
World Food Program (WFP)	International Agency
United Nations High Commissioner for Refugees (UNHCR)	International Agency
United Nations Childrens Fund (UNICEF)	International Agency
International Organization for Migration (IOM)	International Agency
International Committee of RED Cross (ICRC)	International Agency
Ethiopian Orthodox Church, Development and Inter-Church Aid Department (EOC/DICAD)	Local
Opportunities Industrialization Centre - Ethiopia (OICE)	Local
