group_lj1dr54:refugee_community,group_lj1dr54:age,group_lj1dr54:_4_Choose_the_name_of_the_host,group_lj1dr54:Specify_the_name_of_the_host_community,group_lj1dr54:_1_5_Choose_the_ethnic_group_o
community,32,shimelba,,tigrinya
community,37,shimelba,,tigrinya
community,65,mai_kuhiuli,,tigrinya
community,82,mai_kuhiuli,,tigrinya
community,19,mai_kuhiuli,,tigrinya
community,21,mai_kuhiuli,,tigrinya
community,43,shimelba,,tigrinya
community,37,shimelba,,tigrinya
community,30,shimelba,,tigrinya
community,18,shimelba,,tigrinya
community,30,shimelba,,tigrinya
community,31,shimelba,,tigrinya
community,29,shimelba,,tigrinya
community,19,mai_kuhiuli,,tigrinya
community,33,mai_kuhiuli,,tigrinya
community,40,mai_kuhiuli,,tigrinya
community,30,mai_kuhiuli,,tigrinya
community,19,shimelba,,tigrinya
community,22,shimelba,,tigrinya
community,22,shimelba,,tigrinya
community,24,shimelba,,tigrinya
community,55,mai_kuhiuli,,tigrinya
community,22,mai_kuhiuli,,tigrinya
community,45,shimelba,,tigrinya
community,25,mai_kuhiuli,,tigrinya
community,23,mai_kuhiuli,,tigrinya
community,28,mai_kuhiuli,,tigrinya
community,19,shimelba,,tigrinya
community,29,mai_kuhiuli,,tigrinya
community,33,mai_kuhiuli,,tigrinya
community,32,mai_kuhiuli,,tigrinya
community,49,shimelba,,tigrinya
community,32,shimelba,,tigrinya
community,20,shimelba,,tigrinya
community,33,shimelba,,tigrinya
community,39,mai_kuhiuli,,tigrinya
community,37,mai_kuhiuli,,tigrinya
community,19,mai_kuhiuli,,tigrinya
community,27,mai_kuhiuli,,tigrinya
community,80,shimelba,,tigrinya
community,42,shimelba,,tigrinya
community,29,mai_kuhiuli,,tigrinya
community,40,mai_kuhiuli,,tigrinya
community,26,shimelba,,tigrinya
community,15,shimelba,,tigrinya
community,30,shimelba,,tigrinya
community,12,mai_kuhiuli,,tigrinya
community,46,mai_kuhiuli,,tigrinya
community,15,mai_kuhiuli,,tigrinya
community,22,mai_kuhiuli,,tigrinya
community,54,mai_kuhiuli,,tigrinya
community,35,shimelba,,tigrinya
community,18,mai_kuhiuli,,tigrinya
community,25,mai_kuhiuli,,tigrinya
community,37,mai_kuhiuli,,tigrinya
community,22,shimelba,,tigrinya
community,31,mai_kuhiuli,,tigrinya
community,35,shimelba,,tigrinya
community,28,shimelba,,tigrinya
community,36,shimelba,,tigrinya
community,33,shimelba,,tigrinya
community,20,shimelba,,tigrinya
community,36,shimelba,,tigrinya
community,30,shimelba,,tigrinya
community,25,shimelba,,tigrinya
community,40,shimelba,,tigrinya
community,45,shimelba,,tigrinya
community,36,shimelba,,tigrinya
community,42,shimelba,,tigrinya
community,19,shimelba,,tigrinya
community,66,shimelba,,tigrinya
community,27,shimelba,,tigrinya
community,38,shimelba,,tigrinya
community,29,shimelba,,tigrinya
community,29,mai_kuhiuli,,tigrinya
community,78,mai_kuhiuli,,tigrinya
community,36,shimelba,,tigrinya
community,32,shimelba,,tigrinya
community,24,shimelba,,tigrinya
community,55,shimelba,,tigrinya
community,50,shimelba,,tigrinya
community,34,shimelba,,tigrinya
community,36,mai_kuhiuli,,tigrinya
community,25,mai_kuhiuli,,tigrinya
community,23,mai_kuhiuli,,tigrinya
community,35,shimelba,,tigrinya
community,24,shimelba,,tigrinya
community,32,mai_kuhiuli,,tigrinya
community,30,shimelba,,tigrinya
community,56,mai_kuhiuli,,tigrinya
community,25,shimelba,,tigrinya
community,21,mai_kuhiuli,,tigrinya
community,20,shimelba,,tigrinya
community,45,mai_kuhiuli,,tigrinya
community,37,mai_kuhiuli,,tigrinya
community,19,mai_kuhiuli,,tigrinya
community,29,mai_kuhiuli,,tigrinya
community,28,mai_kuhiuli,,tigrinya
community,28,shimelba,,tigrinya
community,30,mai_kuhiuli,,tigrinya
community,36,shimelba,,tigrinya
community,44,mai_kuhiuli,,tigrinya
community,20,mai_kuhiuli,,tigrinya
community,25,mai_kuhiuli,,tigrinya
community,23,mai_kuhiuli,,tigrinya
community,46,mai_kuhiuli,,tigrinya
community,65,shimelba,,tigrinya
community,32,shimelba,,tigrinya
community,30,mai_kuhiuli,,tigrinya
community,22,shimelba,,tigrinya
community,30,shimelba,,tigrinya
community,50,mai_kuhiuli,,tigrinya
community,35,mai_kuhiuli,,tigrinya
community,37,mai_kuhiuli,,tigrinya
community,21,mai_kuhiuli,,tigrinya
community,30,mai_kuhiuli,,tigrinya
community,26,shimelba,,tigrinya
community,25,shimelba,,tigrinya
community,41,mai_kuhiuli,,tigrinya
community,40,mai_kuhiuli,,tigrinya
community,38,mai_kuhiuli,,tigrinya
community,55,mai_kuhiuli,,tigrinya
community,25,mai_kuhiuli,,tigrinya
community,28,shimelba,,tigrinya
community,22,mai_kuhiuli,,tigrinya
community,19,shimelba,,tigrinya
community,50,shimelba,,tigrinya
community,55,shimelba,,tigrinya
community,36,shimelba,,tigrinya
community,30,mai_kuhiuli,,tigrinya
community,21,mai_kuhiuli,,tigrinya
community,63,mai_kuhiuli,,tigrinya
community,28,mai_kuhiuli,,tigrinya
community,32,mai_kuhiuli,,tigrinya
community,30,mai_kuhiuli,,tigrinya
community,35,mai_kuhiuli,,tigrinya
community,24,shimelba,,tigrinya
community,42,shimelba,,tigrinya
community,58,shimelba,,tigrinya
community,26,shimelba,,tigrinya
community,46,shimelba,,tigrinya
community,30,shimelba,,tigrinya
community,23,mai_kuhiuli,,tigrinya
community,75,mai_kuhiuli,,tigrinya
community,32,mai_kuhiuli,,tigrinya
community,38,shimelba,,tigrinya
