group_lj1dr54:refugee_community,group_lj1dr54:age,group_lj1dr54:_4_Choose_the_name_of_the_host,group_lj1dr54:Specify_the_name_of_the_host_community,group_lj1dr54:_1_5_Choose_the_ethnic_group_o,group_on1ls06:number_people
community,32,shimelba,,tigrinya,5
community,37,shimelba,,tigrinya,2
community,65,mai_kuhiuli,,tigrinya,7
community,82,mai_kuhiuli,,tigrinya,1
community,19,mai_kuhiuli,,tigrinya,1
community,21,mai_kuhiuli,,tigrinya,3
community,43,shimelba,,tigrinya,7
community,37,shimelba,,tigrinya,3
community,30,shimelba,,tigrinya,3
community,18,shimelba,,tigrinya,1
community,30,shimelba,,tigrinya,5
community,31,shimelba,,tigrinya,5
community,29,shimelba,,tigrinya,4
community,19,mai_kuhiuli,,tigrinya,2
community,33,mai_kuhiuli,,tigrinya,5
community,40,mai_kuhiuli,,tigrinya,6
community,30,mai_kuhiuli,,tigrinya,4
community,19,shimelba,,tigrinya,3
community,22,shimelba,,tigrinya,4
community,22,shimelba,,tigrinya,3
community,24,shimelba,,tigrinya,3
community,55,mai_kuhiuli,,tigrinya,9
community,22,mai_kuhiuli,,tigrinya,2
community,45,shimelba,,tigrinya,8
community,25,mai_kuhiuli,,tigrinya,3
community,23,mai_kuhiuli,,tigrinya,3
community,28,mai_kuhiuli,,tigrinya,1
community,19,shimelba,,tigrinya,3
community,29,mai_kuhiuli,,tigrinya,12
community,33,mai_kuhiuli,,tigrinya,6
community,32,mai_kuhiuli,,tigrinya,2
community,49,shimelba,,tigrinya,10
community,32,shimelba,,tigrinya,3
community,20,shimelba,,tigrinya,1
community,33,shimelba,,tigrinya,7
community,39,mai_kuhiuli,,tigrinya,4
community,37,mai_kuhiuli,,tigrinya,8
community,19,mai_kuhiuli,,tigrinya,8
community,27,mai_kuhiuli,,tigrinya,5
community,80,shimelba,,tigrinya,2
community,42,shimelba,,tigrinya,6
community,29,mai_kuhiuli,,tigrinya,4
community,40,mai_kuhiuli,,tigrinya,4
community,26,shimelba,,tigrinya,5
community,15,shimelba,,tigrinya,3
community,30,shimelba,,tigrinya,4
community,12,mai_kuhiuli,,tigrinya,4
community,46,mai_kuhiuli,,tigrinya,5
community,15,mai_kuhiuli,,tigrinya,4
community,22,mai_kuhiuli,,tigrinya,2
community,54,mai_kuhiuli,,tigrinya,8
community,35,shimelba,,tigrinya,6
community,18,mai_kuhiuli,,tigrinya,2
community,25,mai_kuhiuli,,tigrinya,2
community,37,mai_kuhiuli,,tigrinya,6
community,22,shimelba,,tigrinya,3
community,31,mai_kuhiuli,,tigrinya,5
community,35,shimelba,,tigrinya,2
community,28,shimelba,,tigrinya,3
community,36,shimelba,,tigrinya,8
community,33,shimelba,,tigrinya,7
community,20,shimelba,,tigrinya,3
community,36,shimelba,,tigrinya,7
community,30,shimelba,,tigrinya,4
community,25,shimelba,,tigrinya,5
community,40,shimelba,,tigrinya,5
community,45,shimelba,,tigrinya,6
community,36,shimelba,,tigrinya,6
community,42,shimelba,,tigrinya,6
community,19,shimelba,,tigrinya,5
community,66,shimelba,,tigrinya,1
community,27,shimelba,,tigrinya,4
community,38,shimelba,,tigrinya,5
community,29,shimelba,,tigrinya,6
community,29,mai_kuhiuli,,tigrinya,4
community,78,mai_kuhiuli,,tigrinya,2
community,36,shimelba,,tigrinya,5
community,32,shimelba,,tigrinya,4
community,24,shimelba,,tigrinya,3
community,55,shimelba,,tigrinya,2
community,50,shimelba,,tigrinya,4
community,34,shimelba,,tigrinya,4
community,36,mai_kuhiuli,,tigrinya,1
community,25,mai_kuhiuli,,tigrinya,4
community,23,mai_kuhiuli,,tigrinya,3
community,35,shimelba,,tigrinya,4
community,24,shimelba,,tigrinya,4
community,32,mai_kuhiuli,,tigrinya,5
community,30,shimelba,,tigrinya,6
community,56,mai_kuhiuli,,tigrinya,9
community,25,shimelba,,tigrinya,4
community,21,mai_kuhiuli,,tigrinya,7
community,20,shimelba,,tigrinya,3
community,45,mai_kuhiuli,,tigrinya,5
community,37,mai_kuhiuli,,tigrinya,6
community,19,mai_kuhiuli,,tigrinya,1
community,29,mai_kuhiuli,,tigrinya,4
community,28,mai_kuhiuli,,tigrinya,6
community,28,shimelba,,tigrinya,5
community,30,mai_kuhiuli,,tigrinya,4
community,36,shimelba,,tigrinya,8
community,44,mai_kuhiuli,,tigrinya,5
community,20,mai_kuhiuli,,tigrinya,2
community,25,mai_kuhiuli,,tigrinya,2
community,23,mai_kuhiuli,,tigrinya,1
community,46,mai_kuhiuli,,tigrinya,8
community,65,shimelba,,tigrinya,1
community,32,shimelba,,tigrinya,5
community,30,mai_kuhiuli,,tigrinya,4
community,22,shimelba,,tigrinya,4
community,30,shimelba,,tigrinya,6
community,50,mai_kuhiuli,,tigrinya,6
community,35,mai_kuhiuli,,tigrinya,3
community,37,mai_kuhiuli,,tigrinya,2
community,21,mai_kuhiuli,,tigrinya,3
community,30,mai_kuhiuli,,tigrinya,4
community,26,shimelba,,tigrinya,3
community,25,shimelba,,tigrinya,4
community,41,mai_kuhiuli,,tigrinya,7
community,40,mai_kuhiuli,,tigrinya,4
community,38,mai_kuhiuli,,tigrinya,4
community,55,mai_kuhiuli,,tigrinya,5
community,25,mai_kuhiuli,,tigrinya,3
community,28,shimelba,,tigrinya,5
community,22,mai_kuhiuli,,tigrinya,2
community,19,shimelba,,tigrinya,5
community,50,shimelba,,tigrinya,3
community,55,shimelba,,tigrinya,4
community,36,shimelba,,tigrinya,4
community,30,mai_kuhiuli,,tigrinya,6
community,21,mai_kuhiuli,,tigrinya,4
community,63,mai_kuhiuli,,tigrinya,9
community,28,mai_kuhiuli,,tigrinya,2
community,32,mai_kuhiuli,,tigrinya,6
community,30,mai_kuhiuli,,tigrinya,3
community,35,mai_kuhiuli,,tigrinya,4
community,24,shimelba,,tigrinya,2
community,42,shimelba,,tigrinya,7
community,58,shimelba,,tigrinya,7
community,26,shimelba,,tigrinya,6
community,46,shimelba,,tigrinya,5
community,30,shimelba,,tigrinya,5
community,23,mai_kuhiuli,,tigrinya,7
community,75,mai_kuhiuli,,tigrinya,2
community,32,mai_kuhiuli,,tigrinya,6
community,38,shimelba,,tigrinya,6
