National Resource Development and Environmental Protection Office (NRDEP),Public Institution
Ethiopian Electric Utility,Public Institution
IBERDROLA S.A.,Private Institution
Philips,Private Institution
itdUPM,Private Institution
Fundación ACCIONA Microenergía,Private Institution
Centre of Victims of Torture (CVT),NGO
Medecins Sans Frontieres (MSF-H),NGO
Innovative Humanitarian Solutions (IHS,NGO
United Nations Childrens Fund (UNICEF),International Agency
International Committee of RED Cross (ICRC),International Agency
"Ethiopian Orthodox Church, Development and Inter-Church Aid Department (EOC/DICAD)",Local
