;GENERAL INFORMATION - COUNTRY LEVEL;;
1;Population;Host community's country;Refugees' country
1,1;Country's name;Etiopia;Eritrea
1,2;Number of inhabitants (#);105000000;4475000
1.2.1;Men, younger than 5 years (%);20;10
1.2.2;Women between 5-17 years (%);10;20
1.2.3;Men, between 5-17 years (%);10;20
1.2.4;Women between18-59 years (%);10;10
1.2.5;Men between 18-59 years(%);10;10
1.2.6;Women older than 60 years (%);10;10
1.2.7;Women youngere than  5 years (%);20;10
1.2.8;Men, older than 60 years  (%);10;10
1,3;Total population;;
1.3.1;Total children younger than 5 years (%);40;20
1.3.2;Total population between 5-17 years (%);20;40
1.3.3;Total population between 18 to 59 years (%);20;20
1.3.4;Total population  60 años (%);20;20
1,4;Growth rate of populatoin (%);34;45
1,5;Refugee population (%);5;4
1,6;Human development index (points);3;3
1,7;Life expentancy at birth (years);65;60
2;Culture;;
2,1;Ethnic groups;;
2.1.1;Ethnich group 1;grupo 1;grupo 2
2.1.2;Ethnich group 2;grupo 2;
2.1.3;Ethnich group 3;;
2,2;Religion;;
2.2.1;Religion 1;musulmana;musulmana
2.2.2;Religion 2;cristiana;
2.2.3;Religion 3;judia;
2,3;Language;;
2.3.1;Language 1;amhárico;tigriña
2.3.2;Language 2;inglés;
2.3.3;Language 3;francés;
3;Economy and well-being;;
3,1;Population with access to employment;;
3.1.1;Agriculture (%);23;23
3.1.2;Livestock (%);20;20
3.1.3;Industry (%);12;12
3.1.4;Services (%);15;15
3,2;Poor people rate (%);45;55
3,3;Index GINI (points);0.8;0.95
3,4;PIB per cap (USD);12;33
3,5;Poverty line (USD/day);1,25;1,25
3,6;Local currency;una;otra
3,7;Exchange rate (local currency vs USD);12;120
4;Government;;
4,1;System of governance (choose one);;
4.1.1;Parliamentary republic;;
4.1.2;Presidential republic;si;
4.1.3;Syngle-party republic;;
4.1.4;Parliamentary monarchy;;
4.1.5;Absolute monarchy;;si
4.1.6;Dictatorship;;
4.1.7;Another;;
5;Territorial and Urbanistic;;
5,1;Location;;
5.1.1;Urban population (%);30;20
5.1.2;Rural population (%);70;80
5,2;Population density;;
