"start","end","Type_of_setlement","Type_of_Host_Community","Location:Latitude","Location:Longitude","Location:Altitude","Location:Accuracy","Construc_tion_Details:Appropiate_Roof","Construc_tion_Details:Structural_Security","Construc_tion_Details:Resilient","Construc_tion_Details:Ventilation","Construc_tion_Details:Humidity","Construc_tion_Details:Animals","Construc_tion_Details:Thermal_Confort","Construc_tion_Details:Picture_Outside","Construc_tion_Details:Picture_Outside_001","Construc_tion_Details:Picture_Inside","Water_Access","Important_Note","Sanitation_acess","Important_Note_001","Crop_Yard","Important_Note_002","Energy","Important_Note_003","meta:instanceID"
"2019-11-26 10:19:45.77","2019-11-26 10:32:26.612","refugee_camp","hostcommunityA","27.4953140823","-7.8231580599","468.1354694231","8.0000000000","yes","yes","yes","yes","no","yes","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90936f15-9e22-4bbc-b18e-da0dbfb6e0c3%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90936f15-9e22-4bbc-b18e-da0dbfb6e0c3%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90936f15-9e22-4bbc-b18e-da0dbfb6e0c3%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"yes",,"yes",,"uuid:90936f15-9e22-4bbc-b18e-da0dbfb6e0c3"
"2019-11-26 10:39:55.362","2019-11-26 10:51:40.2","refugee_camp","hostcommunityA","27.4953776479","-7.8203793763","471.5154522917","8.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afcb6b57f-5572-4492-bbb6-8829a9606c95%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afcb6b57f-5572-4492-bbb6-8829a9606c95%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afcb6b57f-5572-4492-bbb6-8829a9606c95%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:fcb6b57f-5572-4492-bbb6-8829a9606c95"
"2019-11-26 10:58:32.712","2019-11-26 11:08:55.042","refugee_camp","hostcommunityA","27.4951206001","-7.8191514229","452.2092626036","6.0000000000","yes","no","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A80dc73db-592d-4fbd-b985-7e51f0ff2fab%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A80dc73db-592d-4fbd-b985-7e51f0ff2fab%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A80dc73db-592d-4fbd-b985-7e51f0ff2fab%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:80dc73db-592d-4fbd-b985-7e51f0ff2fab"
"2019-11-26 11:17:50.751","2019-11-26 11:23:00.335","refugee_camp","hostcommunityA","27.4962719010","-7.8199745259","465.0646405169","6.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acdc07459-bb49-4fbe-a4ac-fdbfe22ab8e5%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acdc07459-bb49-4fbe-a4ac-fdbfe22ab8e5%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acdc07459-bb49-4fbe-a4ac-fdbfe22ab8e5%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:cdc07459-bb49-4fbe-a4ac-fdbfe22ab8e5"
"2019-11-26 11:36:32.58","2019-11-26 11:40:22.216","refugee_camp","hostcommunityA","27.4965177711","-7.8197631950","460.5685718048","4.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A768ede14-d567-4f71-94e4-09e2118df7a4%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A768ede14-d567-4f71-94e4-09e2118df7a4%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A768ede14-d567-4f71-94e4-09e2118df7a4%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:768ede14-d567-4f71-94e4-09e2118df7a4"
"2019-11-26 11:52:49.454","2019-11-26 11:58:52.331","refugee_camp","hostcommunityA","27.4984044467","-7.8208970752","464.2393003166","8.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Affa3e064-55aa-4b87-a2da-408a1379d3ed%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Affa3e064-55aa-4b87-a2da-408a1379d3ed%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Affa3e064-55aa-4b87-a2da-408a1379d3ed%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:ffa3e064-55aa-4b87-a2da-408a1379d3ed"
"2019-11-26 12:23:36.171","2019-11-26 12:29:10.445","refugee_camp","hostcommunityA","27.4956341973","-7.8237809793","464.3642232653","6.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad80fc6c5-2ea6-45c6-b690-9aeca1c75955%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad80fc6c5-2ea6-45c6-b690-9aeca1c75955%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad80fc6c5-2ea6-45c6-b690-9aeca1c75955%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:d80fc6c5-2ea6-45c6-b690-9aeca1c75955"
"2019-11-26 12:42:27.274","2019-11-26 12:48:30.647","refugee_camp","hostcommunityA","27.4967518761","-7.8241460010","472.4136380138","8.0000000000","yes","yes","yes","yes","no","no","yes",,,"http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad20963da-0718-4107-9514-100622253644%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:d20963da-0718-4107-9514-100622253644"
"2019-11-09 12:41:54.174","2019-11-09 12:49:40.998","refugee_camp","hostcommunityA","27.4956369200","-7.8241181600","468.6164550781","4.2880000000","yes","yes","yes","yes","no","no","no","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac91b3630-f7e3-495d-8110-359a5403fe11%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac91b3630-f7e3-495d-8110-359a5403fe11%5D%2FConstruc_tion_Details%3APicture_Outside_001",,"yes",,"yes",,"no",,"yes",,"uuid:c91b3630-f7e3-495d-8110-359a5403fe11"
"2019-11-26 17:40:17.101","2019-11-26 17:43:28.269","refugee_camp","hostcommunityA","27.4863280017","-7.8233314080","457.3791536331","6.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0ba2c350-c0f9-4dd6-af95-7cbf811158e1%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0ba2c350-c0f9-4dd6-af95-7cbf811158e1%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0ba2c350-c0f9-4dd6-af95-7cbf811158e1%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:0ba2c350-c0f9-4dd6-af95-7cbf811158e1"
