"start","end","General:Gender","General:Settlement","General:Name_HC","General:old_years","General:Old_women","General:Young_wome","General:Old_men","General:Young_men","General:Children","Shelter:No_Rooms","Shelter:Improve_sh","Energy:Access_Y_N_001","Energy:Access_electric","Energy:Hours_day","Energy:HoursNight","Energy:Appliances","Energy:Hours_lightbulbs","Energy:Hours_mobile","Energy:Hours_radio_musicplayer","Energy:Hours_TV_DVD","Energy:Hours_laptop_computer_tablet","Energy:Hours_fridge","Energy:Hours_electrical_stove","Energy:Hours_others","Energy:Elec_expen","Energy:Solar_cost","Water:Water_col","health_001:Healthcare","Economy:FamilyHead","Economy:FamilyHead_001","Economy:Main_inco","Economy:Money","Economy:Food","Economy:clothes","Economy:water_001","Economy:education","Economy:transport","Economy:Health","Economy:firewood","meta:instanceID"
"2019-11-16 11:42:25.849","2019-11-18 23:38:40.155","female","refugee","","24","2","0","0","0","0","3","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone tv/dvd fridge others","4","4",,"1",,"24",,"7","0",,,"yes","no","female","others","10000",,"3000","0","0","5000","0","0","uuid:0e745beb-1ab2-43f6-b305-0282ed6f8625"
"2019-11-16 13:07:43.275","2019-11-16 13:20:14.748","female","refugee","","46","1","1","0","1","0","2","walls","yes","electrical_gri_1","12","12","light_bulbs mobile_phone tv/dvd fridge","4","2",,"5",,"24",,,"0",,,"yes","yes",,"remittances","7000","5000","500","0","0","500","0","0","uuid:821bc2d2-3980-45c7-a360-191d5ad2e719"
"2019-11-26 10:12:03.488","2019-11-26 14:17:27.764","female","refugee","","50","3","0","2",,"1","2","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone fridge","4","2",,,,"24",,,"40",,"0","yes","yes",,"livestock",,"300",,,,,"100","40","uuid:368a7f8a-af84-4bdc-a445-2a7c07419ce6"
"2019-11-26 10:40:08.897","2019-11-26 14:23:14.454","female","refugee","","68","41",,,,,"1","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone tv/dvd fridge","3","1",,"1",,"24",,,"1000",,,"yes","yes",,"subsidies",,"1000",,,,,,"1000","uuid:7a1c1220-25e0-4721-900e-232c9322f2d7"
"2019-11-26 10:58:11.521","2019-11-26 14:24:25.824","male","refugee","","33","2",,"4",,,"1","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone tv/dvd fridge","4","1",,"2",,"24",,,"1000",,,"yes","no","male","commerce","5000","1000",,,,"1000",,"1000","uuid:78457e10-3e82-401f-96aa-76878e961852"
"2019-11-26 11:17:05.719","2019-11-26 14:25:24.879","female","refugee","","62","5",,"3",,"2","3","foundations","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone radio/music_p tv/dvd","4","1","2","1",,,,,"1400",,,"yes","yes",,"subsidies","1000","300",,,,,"750",,"uuid:280883bf-7252-457c-85aa-ccae46fc97fe"
"2019-11-26 11:36:40.803","2019-11-26 14:26:12.67","female","refugee","","45","2","2","1","1","2","2","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone radio/music_p tv/dvd fridge","6","2","3","10",,"24",,,"1500",,,"yes","no","male","others","1000","200",,,,,"1200","1500","uuid:5e775105-7594-48f8-bfcd-b047953a218b"
"2019-11-26 11:53:12.636","2019-11-26 14:26:38.237","female","refugee","","65","2",,"2",,,"2","foundations","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone tv/dvd fridge","4","1",,"4",,"24",,,"1000",,,"yes","yes",,"subsidies",,,,,,,,"1000","uuid:4ebe49be-398a-4dea-96c9-da3e66605031"
"2019-11-26 12:23:42.578","2019-11-26 12:31:38.046","female","refugee","","60","2",,"2",,,"2","roofs","yes","electrical_gri_1","12","12","lantern light_bulbs tv/dvd fridge","4",,,"3",,"24",,,,,,"yes","yes",,"others","1000",,,,,,,"1000","uuid:3d550f75-60e7-4f47-b5ed-57bcea6b6a8d"
"2019-11-26 12:42:13.702","2019-11-26 12:47:03.621","female","refugee","","24","1",,"1",,"2","3","nothing","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone tv/dvd fridge","4","1",,"1",,"24",,,"1000",,,"yes","yes",,"subsidies",,"1000",,,,,,"1000","uuid:e7f764ac-a74a-473e-8186-a7c640d17d47"
"2019-11-27 17:52:42.848","2019-11-27 18:00:27.376","female","refugee","","57","5",,"4",,"5","1","foundations","yes","electrical_gri_1","12","12","light_bulbs mobile_phone radio/music_p","1","2","8",,,,,,"250",,,"yes","yes",,"others",,"1000",,,,,,"250","uuid:07f45967-48ad-4abf-a3fa-970a2e4eba53"
"2019-11-26 16:48:17.518","2019-11-26 22:53:14.206","male","refugee","","15","3","1","2",,"1","4","foundations","yes","electrical_gri_1","12","12","lantern light_bulbs mobile_phone tv/dvd laptop_tablet/ fridge","24","3",,"3","3","24",,,"2000",,,"yes","no","male","commerce","20000","12000",,,,,,"2000","uuid:0857678b-ffc0-4a5a-83d7-9800209bbb4d"
