"start","end","IMPORTANT_NOTE","Type_of_setlement","Type_of_Host_Community","Record_your_current_location:Latitude","Record_your_current_location:Longitude","Record_your_current_location:Altitude","Record_your_current_location:Accuracy","Property","Type_of_Service","Availability","meta:instanceID"
"2019-11-18 11:03:57.431","2019-11-18 18:48:39.886",,"refugee_camp",,"27.4938683872","-7.8195188362","457.9009094238","4.9000000000","public",,"yes","uuid:f203a0c5-d368-4102-b4e3-7fc1ee2f7a28"
"2019-11-18 09:26:36.958","2019-11-18 18:52:42.854",,"refugee_camp",,"27.4972350805","-7.8229479111","463.0664797733","4.9000000000","public",,"yes","uuid:d0c0213e-593d-45a4-91fd-eeeca49666df"
"2019-11-16 13:23:01.362","2019-11-18 23:39:43.051",,"refugee_camp",,"27.4958005417","-7.8241202228","467.3467572937","4.9000000000","residential",,"yes","uuid:0398dba0-0e07-460c-acb0-16593755ec0f"
"2019-11-16 12:31:48.529","2019-11-18 23:47:32.112",,"refugee_camp",,"27.4957357834","-7.8240099871","476.6680310853","4.9000000000","residential",,"yes","uuid:1652f65b-7fad-472d-b33d-7221363f0467"
"2019-11-20 10:26:46.149","2019-11-20 14:30:25.326",,"refugee_camp",,"27.4972693229","-7.8232137359","423.0505065918","4.9000000000","communal_servi","health_center","yes","uuid:afa813c4-00f4-499b-823a-61a84b44aae8"
"2019-11-21 12:58:19.918","2019-11-22 23:42:20.136",,"refugee_camp",,"27.4874460801","-7.8267685043","455.9114379883","4.7000000000","public",,"yes","uuid:1c80bac6-902d-482a-84c7-8a24dcd5caa8"
"2019-11-21 11:21:59.591","2019-11-21 11:22:29.438",,"refugee_camp",,"27.4891216276","-7.8295231146","451.8260585730","8.0000000000","communal_servi","educational_center","yes","uuid:473ef4a2-75f4-4e84-ad7b-32d11856bbe3"
"2019-11-26 10:32:41.638","2019-11-26 14:22:00.425",,"refugee_camp",,"27.4953539726","-7.8228218640","479.3735369202","4.9000000000","residential",,"yes","uuid:82641ef2-2f11-4960-80ed-bbcf6a378e49"
"2019-11-26 10:42:19.802","2019-11-26 10:42:43.192",,"refugee_camp",,"27.4953388845","-7.8201166764","443.4269245094","8.0000000000","residential",,"yes","uuid:fa6be489-8630-4135-aff2-40f8b3c4da2d"
"2019-11-26 11:01:58.178","2019-11-26 11:02:28.279",,"refugee_camp",,"27.4951344102","-7.8190770650","469.5535588747","6.0000000000","residential",,"yes","uuid:e5a1d365-52d8-48ad-9237-900dcb523ce4"
"2019-11-26 11:25:02.087","2019-11-26 11:25:32.645",,"refugee_camp",,"27.4962182688","-7.8196476496","469.7550648962","8.0000000000","residential",,"yes","uuid:6940d1d9-dc43-41ee-b8b2-c55698cc44fd"
"2019-11-26 11:43:44.463","2019-11-26 11:44:11.489",,"refugee_camp",,"27.4963493828","-7.8195925780","453.6064470894","6.0000000000","residential",,"yes","uuid:e3a3d7a0-9879-4549-8ae4-2f06cf757878"
"2019-11-26 12:01:38.595","2019-11-26 12:02:36.296",,"refugee_camp",,"27.4981446802","-7.8212429041","456.0892402192","6.0000000000","residential",,"yes","uuid:3534d641-5442-4877-b82e-51ff3d0b12d0"
"2019-11-26 12:29:17.867","2019-11-26 12:29:45.156",,"refugee_camp",,"27.4955272969","-7.8238244463","454.5536687143","6.0000000000","residential",,"yes","uuid:82f537e2-dd8a-4866-b229-9c929c64e27a"
"2019-11-26 12:46:07.326","2019-11-26 12:46:49.602",,"refugee_camp",,"27.4969139222","-7.8240468669","467.5363700600","8.0000000000","residential",,"yes","uuid:fe02e217-99ac-448a-a09f-c433dca447ee"
