SubmissionDate,start,end,Type_of_settlement,Host_community_Name,Infrastructure_type,Other_Category,General_information-Map_Code,General_information-Identification_Code,General_information-General_Picture,General_information-Mobile_GPS-Latitude,General_information-Mobile_GPS-Longitude,General_information-Mobile_GPS-Altitude,General_information-Mobile_GPS-Accuracy,General_information-GPS_Latitude,General_information-GPS_Longitude,General_information-GPS_Height,General_information-Organization_Name,Power_system-Power_System_Type,Power_system-Other_type,Power_system-Power,Power_system-Ownership,Power_system-Ownership_Name,Waste_Managment-Type_of_waste_collection_point,Waste_Managment-pick_up_evaluation-Dimension,Waste_Managment-pick_up_evaluation-Shelter_distance,Waste_Managment-pick_up_evaluation-Cover_and_Handle,Waste_Managment-pick_up_evaluation-Served_Households,Waste_Managment-Minimal_height,Transport_Details-Type_of_station,Transport_Details-Type_of_mobility,Transport_Details-Other_type_001,Transport_Details-External_mobility_detail,water_supply-Type_of_infrastructure_water,water_supply-Other_type_002,water_supply-Capactity,water_supply-Continued_availability_001,water_supply-Availability_moths,water_supply-Type_of_water_supply,water_supply-Water_Distributionn_Point_Deta-Continued_availability_Water_tanks,water_supply-Water_Distributionn_Point_Deta-Continued_availability,water_supply-Water_Distributionn_Point_Deta-Availability_moths_001,water_supply-Water_Distributionn_Point_Deta-Well_Depth,water_supply-Water_Distributionn_Point_Deta-Pump_Power,Sanitation-Sanitation_Infrastructure_Type,Sanitation-Other_Type_003,Sanitation-Communal_latrine_details-Number_of_Latrine,Sanitation-Communal_latrine_details-Type_of_latrine_1,Sanitation-Communal_latrine_details-Type_of_latrine_2,Sanitation-Communal_latrine_details-Type_of_latrine_3,Sanitation-Communal_latrine_details-quality_evaluation-Washing_Hand,Sanitation-Communal_latrine_details-quality_evaluation-Insect_screen,Sanitation-Communal_latrine_details-quality_evaluation-Proper_door,Sanitation-Communal_latrine_details-quality_evaluation-Suitable_slabs,Sanitation-Communal_latrine_details-quality_evaluation-Healthiness,Sanitation-Communal_latrine_details-quality_evaluation-Lighting,Sanitation-Communal_latrine_details-quality_evaluation-Type_Lighting,Sanitation-Communal_latrine_details-quality_evaluation-Hygienic_devices_for_women,Sanitation-Communal_latrine_details-quality_evaluation-Separed_unit_by_sex,Sanitation-Communal_latrine_details-Latrine_discharge,Washing_Area-Number_of_taps,Washing_Area-Water_Source_001,Washing_Area-Other_Type_004,Washing_Area-Washing_discharge,Washing_Area-Lighting_Washing_area,Washing_Area-Type_Lighting_001,Washing_Area-Open_Time,Washing_Area-Use_per_household,Communal_Shower-Number_of_showers,Communal_Shower-Water_Source,Communal_Shower-Other_Type_005,Communal_Shower-Separed_unit_by_sex_001,Communal_Shower-Shower_discharge,Communal_Shower-Lighting_001,Communal_Shower-Type_Lighting_002,Communal_Shower-Open_Time_001,Street_lighting_details-Street_Light_Type,Street_lighting_details-Working_luminaire,Street_lighting_details-Techology_used,Street_lighting_details-Other_Luminaire_type,Something_to_add,meta-instanceID,KEY
16/10/2018 22:21:10,16/10/2018 22:20:05,16/10/2018 22:20:46,refuee_camp,"",street_light,"",3.8,12,"","","","","","","","",??,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,yes,solar,"","",uuid:cfa64cc4-1f85-484b-bce1-d801c2f1f9b0,uuid:cfa64cc4-1f85-484b-bce1-d801c2f1f9b0
29/10/2018 7:51:07,23/10/2018 15:45:32,29/10/2018 7:49:24,refuee_camp,"",water,"",5.2,21,media\1540302360943.jpg,14.1767141400,37.7247565300,1026.0000000000,4.2880000000,"","","","","","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6 taps,uuid:12e23ba5-51f6-4a2c-a1c8-68ded79cc1e9,uuid:12e23ba5-51f6-4a2c-a1c8-68ded79cc1e9
29/10/2018 7:51:19,23/10/2018 15:48:49,29/10/2018 7:49:12,refuee_camp,"",street_light,"",5.2,22,media\1540302568860.jpg,14.1764586500,37.7245987900,1026.0000000000,3.2160000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,no,solar,"",Because if rain,uuid:0aac339e-c06a-4d1e-89e2-73b0154d97b6,uuid:0aac339e-c06a-4d1e-89e2-73b0154d97b6
29/10/2018 7:51:58,24/10/2018 9:02:01,29/10/2018 7:48:59,refuee_camp,"",water,"",5.2,110,media\1540364545999.jpg,14.1777030900,37.7259050400,1017.0000000000,4.2880000000,"","","","","","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:65e10b20-c46c-4bbd-b535-99de41bd8138,uuid:65e10b20-c46c-4bbd-b535-99de41bd8138
29/10/2018 7:52:11,24/10/2018 9:43:05,29/10/2018 7:48:53,refuee_camp,"",water,"",5.1,118,media\1540367009423.jpg,14.1814183600,37.7267965000,1017.0000000000,4.2880000000,"","","","","","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",no,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Nota work on march and April share with historia community,uuid:d6c21983-66c2-4aff-959f-88c1b5b3194f,uuid:d6c21983-66c2-4aff-959f-88c1b5b3194f
29/10/2018 7:52:40,24/10/2018 14:49:55,29/10/2018 7:48:46,refuee_camp,"",water,"",1.2,306,"",14.1682093200,37.7234854700,1036.0000000000,3.2160000000,"","","","","","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",no,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7-10 2-5

6 taps

Jun-July",uuid:1fa96a5e-8500-467e-8ac6-88f9fbc12388,uuid:1fa96a5e-8500-467e-8ac6-88f9fbc12388
29/10/2018 10:00:08,01/01/2015 22:24:22,29/10/2018 9:04:57,refuee_camp,"",diesel_group,"",5.1,1,media\1420147527942.jpg,14.1789088233,37.7252513857,1079.3962094868,20.0000000000,"","","",Private,dieses_generatiors,"",250,private,Gere Meskel Tewolde,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Marca Magnaplus,uuid:b30fdeb6-f99b-4f00-ba31-272de1de586f,uuid:b30fdeb6-f99b-4f00-ba31-272de1de586f
29/10/2018 10:00:10,01/01/2015 23:14:54,29/10/2018 9:05:09,refuee_camp,"",water,"",5.2,5,media\1420150541466.jpg,14.1773190727,37.7274562748,1034.0233534593,20.0000000000,"","","",Private,"","","","","","","","","","","","","","","",water_reserve___water_tank,"","",yes,12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Water comes rom the ground. Only for irrigating,uuid:f89948bd-c6ab-41af-a4d5-05aab60ca35e,uuid:f89948bd-c6ab-41af-a4d5-05aab60ca35e
29/10/2018 10:00:12,01/01/2015 23:20:58,29/10/2018 9:04:08,refuee_camp,"",water,"",5.2,"",media\1420150883955.jpg,14.1771857901,37.7276548849,996.0661603073,20.0000000000,"","","","","","","","","","","","","","","","","","","",water_reserve___water_tank,"","",yes,12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Water from ground. For irrigating,uuid:1b764fa4-4c3b-43ed-8523-fcf7b9d6785e,uuid:1b764fa4-4c3b-43ed-8523-fcf7b9d6785e
29/10/2018 10:00:14,01/01/2015 23:42:04,29/10/2018 9:04:19,refuee_camp,"",street_light,"",5.2,8,media\1420152187344.jpg,14.1779661330,37.7250658076,1001.2973194392,20.0000000000,"","","",Acnur,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,no,led,"",It has solar panel. 10W,uuid:7db1aefa-977f-4487-9976-65fb5bf8b2c9,uuid:7db1aefa-977f-4487-9976-65fb5bf8b2c9
29/10/2018 10:00:15,01/01/2015 23:52:47,29/10/2018 9:04:35,refuee_camp,"",sanitation,"",5.2,11,media\1420152876367.jpg,14.1780686601,37.7246422660,959.1367848134,15.0000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",other,Shelter in household. Also for shower,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:576f5909-3327-47a8-ba97-93a0cf37ef55,uuid:576f5909-3327-47a8-ba97-93a0cf37ef55
29/10/2018 10:00:16,02/01/2015 0:06:34,29/10/2018 9:05:21,refuee_camp,"",waste_managmen,"",5.2,12,media\1420153617548.jpg,14.1778860903,37.7249215839,1020.7966484968,20.0000000000,"","","","","","","","","",pick_up_point,yes,yes,option_2,option_2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",They pick Up from Emery household twice per week. Hey take out of the camp,uuid:18cef457-5a3c-49fb-ab8b-f73918576be0,uuid:18cef457-5a3c-49fb-ab8b-f73918576be0
29/10/2018 10:00:17,02/01/2015 0:10:57,29/10/2018 9:49:22,refuee_camp,"",transport,"",5.2,14,media\1420153883726.jpg,14.1777453857,37.7249106186,1019.0463033114,20.0000000000,"","","","","","","","","","","","","","","",bikes___animals,internal_mobil,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Transport water. 25 birr per barril,uuid:a627f69d-0a8c-4862-825c-eb10702e65b6,uuid:a627f69d-0a8c-4862-825c-eb10702e65b6
29/10/2018 10:00:19,02/01/2015 0:18:12,29/10/2018 9:49:33,refuee_camp,"",street_light,"",5.2,16,media\1420154324882.jpg,14.1772589874,37.7245737725,1046.3862831518,25.0000000000,"","","",UNHCR,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,no,led,"","",uuid:91866703-a63d-4746-af93-e7132f83c372,uuid:91866703-a63d-4746-af93-e7132f83c372
29/10/2018 10:01:00,02/01/2015 19:47:21,29/10/2018 9:49:42,refuee_camp,"",water,"",2.3,211,media\1420224469837.jpg,14.1738963400,37.7242136528,1024.2213301649,15.0000000000,"","","",IRC,"","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6 taps. Sometimes they don't have water, but usually they have",uuid:2d3f2974-3f39-4473-9e77-aaad8cd307d3,uuid:2d3f2974-3f39-4473-9e77-aaad8cd307d3
29/10/2018 10:01:31,03/01/2015 0:12:44,29/10/2018 9:49:52,refuee_camp,"",street_light,"",1.4,312,media\1420240433018.jpg,14.1707007436,37.7228494670,1041.8997754110,25.0000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,no,led,"","",uuid:fb0ce01c-e621-43c0-8531-75bda380361e,uuid:fb0ce01c-e621-43c0-8531-75bda380361e
29/10/2018 10:01:33,03/01/2015 0:39:19,29/10/2018 9:50:01,refuee_camp,"",diesel_group,"",1.4,319,"","","","","",14,10,14.74,Zoa,dieses_generatiors,"",6.3 kw,private,Zoa,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",T here is looking for someone for maintenance,uuid:cce9566b-4ccf-4c08-a0c2-b49383af346d,uuid:cce9566b-4ccf-4c08-a0c2-b49383af346d
29/10/2018 10:01:37,03/01/2015 1:23:28,29/10/2018 9:50:10,host_community,Maikuhili,water,"",Host,504,media\1420244696886.jpg,14.2159129168,37.7297824533,1027.1810164368,25.0000000000,"","","",IRC,"","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",It was closed. At 17:45 people was waiting outside,uuid:b5a9041e-dbeb-400a-a2d4-2aeedbd23942,uuid:b5a9041e-dbeb-400a-a2d4-2aeedbd23942
29/10/2018 10:01:40,03/01/2015 1:35:24,29/10/2018 9:50:19,host_community,Maikugily,water,"",Host,507,media\1420245391046.jpg,"","","","","","","",IRC,"","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Open from 15 to 18,uuid:dde68b6b-4cdc-4ca5-886f-a18568ac6875,uuid:dde68b6b-4cdc-4ca5-886f-a18568ac6875
