SubmissionDate,start,end,username,Type_of_setlement,Host_Comunity_Name,Category_Productive_Area,Economic_activity_type_001,Other_type,General_information-Map_Number,General_information-Identification_Code,General_information-General_Picture,General_information-Specify_other_Productive_Area,General_information-Mobile_GPS_Localization-Latitude,General_information-Mobile_GPS_Localization-Longitude,General_information-Mobile_GPS_Localization-Altitude,General_information-Mobile_GPS_Localization-Accuracy,General_information-GPS_Longitude,General_information-GPS_Latitude,General_information-GPS_height,Other_Private_Activity-Cooker_details-Kitchen_type,Other_Private_Activity-Cooker_details-Power,Other_Private_Activity-Cooker_details-Other_type_cooker,Other_Private_Activity-Cooker_details-Cooking_area,Community_Garden_Details-Dimension_1,Community_Garden_Details-Dimension_2,Community_Garden_Details-Crops,Community_Garden_Details-Specify_other_Crops,Community_Garden_Details-Kind_of_Fruit,Community_Garden_Details-Kind_of_Vegetable,Community_Garden_Details-Kind_of_Cereals,Community_Garden_Details-Garden_type,Community_Garden_Details-Water_source,Community_Garden_Details-Fertilization_system,Community_Garden_Details-Fertilizer_Kind_of_legumes,Community_Garden_Details-Fertilizer_Legumes_times,Community_Garden_Details-Fertilizer_Kind_of_animals,Community_Garden_Details-Fertilizer_Animals_times,Community_Garden_Details-Fertilizer_Kind_of_synthetic,Community_Garden_Details-Fertilizer_Synthetic_times,Community_Garden_Details-Fertilizer_Kind_of_others,Community_Garden_Details-Fertilizer_Others_times,Community_Garden_Details-Fertilizer_amount_aminal,Community_Garden_Details-Fertilizer_amount_synthetic,Community_Garden_Details-Fertilizer_amount_legumes,Community_Garden_Details-Fertilizer_amount_other,Communitary_Stockyard_Details-Dimension_1_001,Communitary_Stockyard_Details-Dimension_2_001,Communitary_Stockyard_Details-Animals,Communitary_Stockyard_Details-Other_type_001,Communitary_Stockyard_Details-Number_of_animals,Communitary_Stockyard_Details-Animal_Excreta_Disposal,Communitary_Stockyard_Details-Animal_Excreta_Disposal_System,Communitary_Stockyard_Details-Other_Excreta_Disposal,Street_lighting,SET-OF-Street_lighting_details,Wate_Managment_Required,Waste_Managment_Detail-Waste_Collection_Point,Water_supply_required,Private_water_supply,water_supply_details-Type_of_water_supply,water_supply_details-Well_depth,water_supply_details-Power_002,water_supply_details-Continued_availability,water_supply_details-Available_moths,Energy_supply,Private_Electricity,Electricity_details-Interior_lighting_source,Electricity_details-Power_003,Electricity_details-Other_type_003,Electricity_details-Comsumption_Equipament_Details,SET-OF-Electricity_details-Comsumption_Equipament,Something_to_add,meta-instanceID,KEY
24/10/2018 2:18:51,23/10/2018 15:21:32,23/10/2018 16:22:15,mission2018,refugee_camp,"",other_productive_area,restaurant laundry canteen,"",5.2,19,media\1540300998845.jpg,"","","","","",14,10,37,traditional,"","",indoor,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",yes,yes,yes,no,"","","","","",yes,yes,others,"","Led, 3 solid mercury, 1little light bulb mercury",OK,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament,"He doesn't have money to pay the electricity to other owner of thermal generator, he only use the  electrical equipment at night. He has a thermal generator 3 kW.",uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a
25/10/2018 20:33:42,24/10/2018 10:21:38,24/10/2018 10:26:49,mission2018,refugee_camp,"",other_productive_area,others,Saesamy field,2. 3,208,media\1540369464838.jpg,Saesamy field,14.1740965106,37.7257412421,1019.0937233996,4.0000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",yes,no,"","","","","",no,"","","","","","",Organic  fertilizer,uuid:d4fa2376-1526-437c-9e90-71c31984e0ec,uuid:d4fa2376-1526-437c-9e90-71c31984e0ec
25/10/2018 20:35:38,24/10/2018 10:27:38,24/10/2018 11:13:50,mission2018,refugee_camp,"",other_productive_area,others,Sorghum field,3. 2,208,media\1540369737893.jpg,Sorghum,14.1737771919,37.7257590880,1018.7324390342,4.0000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",yes,no,"","","","","",no,"","","","","","",Organic fertilizer,uuid:d082c0e0-578c-46df-b51d-7f5cf328521b,uuid:d082c0e0-578c-46df-b51d-7f5cf328521b
25/10/2018 20:36:28,24/10/2018 11:13:55,24/10/2018 11:16:17,mission2018,refugee_camp,"",other_productive_area,others,Mud block,2. 3,215,media\1540372511217.jpg,Mud brick,14.1739113549,37.7233418442,1037.0217793239,4.0000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",yes,no,"","","","","",no,"","","","","","","",uuid:89259ec6-27b7-4018-92f4-e840a94a1261,uuid:89259ec6-27b7-4018-92f4-e840a94a1261
29/10/2018 7:38:57,23/10/2018 15:07:25,23/10/2018 15:14:13,mission2018,refugee_camp,"",other_productive_area,shop,"",5.2,15,media\1540300079638.jpg,"",14.1779376500,37.7250414200,1040.0000000000,4.2880000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",no,"","","","","","",yes,yes,others,"",Thermal generator,OK,uuid:a1639033-f687-43e3-b605-d0a4853ccaf9/Comsumption_Equipament,They have a charging point. Belongs todo a shelter. They pay 160 Birr per  month foto 2 light points and a charger point,uuid:a1639033-f687-43e3-b605-d0a4853ccaf9,uuid:a1639033-f687-43e3-b605-d0a4853ccaf9
29/10/2018 7:50:01,23/10/2018 14:42:37,29/10/2018 7:45:51,mission2018,refugee_camp,"",other_productive_area,shop,"",5.2,10,media\1540298630446.jpg,"",14.1782304100,37.7252429000,1035.0000000000,4.2880000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",no,"","","","","","",yes,yes,others,"",Solid Mercury (thermal generador),OK,uuid:7c87e907-7926-44d2-93d4-d4eeb456be64/Comsumption_Equipament,"",uuid:7c87e907-7926-44d2-93d4-d4eeb456be64,uuid:7c87e907-7926-44d2-93d4-d4eeb456be64
29/10/2018 7:50:47,23/10/2018 15:17:29,29/10/2018 7:45:41,mission2018,refugee_camp,"",other_productive_area,shop,"",5.2,17,media\1540300679681.jpg,"",14.1772444900,37.7246624400,1028.0000000000,4.2880000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"",no,"",no,"","","","","","",yes,yes,others,"",Thermal generator,OK,uuid:465172b8-f03e-459d-a2c9-4223b88a3c53/Comsumption_Equipament,They have two fans,uuid:465172b8-f03e-459d-a2c9-4223b88a3c53,uuid:465172b8-f03e-459d-a2c9-4223b88a3c53
29/10/2018 7:52:39,24/10/2018 14:29:34,29/10/2018 7:45:24,mission2018,host_comunity,Shimelba,communal_orcha,"","",1.5,303,media\1540384255330.jpg,"",14.1655579700,37.7251571200,1025.0000000000,4.2880000000,"","","","","","","",25,30,cereals,"","","",Sorgum,not_irrigation,wastewater,"","","","","","","","","","","","","","","","","","","","","",no,"",no,"",no,"","","","","","",no,"","","","","","","",uuid:44052c54-ca8a-4710-b413-dea574977be5,uuid:44052c54-ca8a-4710-b413-dea574977be5
29/10/2018 7:53:44,25/10/2018 15:26:00,29/10/2018 7:45:03,mission2018,refugee_camp,"",other_productive_area,others,Brick production,"","",media\1540474035744.jpg,"",14.1714458900,37.7254294400,1026.0000000000,3.2160000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",no,"",yes,no,"","","","","",no,"","","","","","","",uuid:828ba6b8-f529-45a9-982d-d9f91ea7ea40,uuid:828ba6b8-f529-45a9-982d-d9f91ea7ea40
29/10/2018 10:01:04,02/01/2015 20:01:46,29/10/2018 9:54:06,mission2018,refugee_camp,"",other_productive_area,shop,"",2.3,213,media\1420225388137.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"",yes,yes,no,"","","","","","",yes,yes,others,"",Halogeno,"","","",uuid:b3b0debf-9c8e-4ffd-90d7-0cf0383bdaf0,uuid:b3b0debf-9c8e-4ffd-90d7-0cf0383bdaf0
